Date,Open,High,Low,Close,Volume
11/1/2019,47.48,49.900002,46.950001,47.189999,107591800
10/1/2019,43.099998,49.169998,41.75,47.549999,420844300
9/1/2019,44.599998,51.389999,42.580002,42.849998,496512600
8/1/2019,45,45.959999,40.700001,45.27,501560900
7/1/2019,41.16,48.700001,38.799999,44.889999,671561700
6/1/2019,32.950001,39.400002,32.139999,38.59,636770700
5/1/2019,42.43,43.380001,32.169998,32.610001,566679000
4/1/2019,42.27,44.849998,40.77,42.060001,482889100
3/1/2019,41.639999,44.209999,36.57,41.330002,684548300
2/1/2019,38.310001,43.990002,37.360001,40.880001,610094300
1/1/2019,31,39.310001,30.75,38.220001,771128400
12/1/2018,40.200001,40.240002,28.389999,31.73,739529700
11/1/2018,37.98,41.43,34.049999,38.560001,560230000
10/1/2018,45.439999,46.689999,33.82,37.720001,821867500
9/1/2018,52.139999,52.299999,40.68,45.23,880109200
8/1/2018,52.66,53.68,45.619999,52.52,696140700
7/1/2018,51.52,58.150002,50.099998,52.790001,730418300
6/1/2018,58.810001,62.549999,51.790001,52.439999,1034243300
5/1/2018,45.59,64.660004,45.330002,57.59,1159858400
4/1/2018,51.540001,54.27,45.32,45.98,1075226000
3/1/2018,48.77,63.419998,45.950001,52.139999,1549894000
2/1/2018,43.040001,49.459999,37.52,48.810001,831358900
1/1/2018,41.540001,46.98,41.189999,43.720001,831013900
12/1/2017,41.73,46.799999,39.07,41.119999,895252000
11/1/2017,44.790001,49.889999,41.860001,42.389999,695153200
10/1/2017,39.599998,44.57,38.810001,44.310001,834077600
9/1/2017,32.130001,39.360001,31.65,39.330002,731488700
8/1/2017,28.219999,32.02,26.85,31.969999,543420400
7/1/2017,30.09,32.349998,27.870001,28.120001,562428900
6/1/2017,30.75,32.959999,29.209999,29.860001,772196700
5/1/2017,27.85,31.1,26.959999,30.77,509130600
4/1/2017,28.950001,29.040001,26.360001,27.67,460534300
3/1/2017,24.16,29.870001,24.07,28.9,728136900
2/1/2017,24.43,25.309999,22.639999,23.440001,485701900
1/1/2017,22.07,24.24,21.49,24.110001,446792700
12/1/2016,19.700001,23.639999,18.18,21.92,631648600
11/1/2016,17.200001,20.440001,16.450001,19.530001,537962500
10/1/2016,17.99,18.33,16.17,17.16,539021800
9/1/2016,16.610001,18.16,16.299999,17.780001,541893500
8/1/2016,13.81,17.25,13.02,16.49,529876300
7/1/2016,12.58,14.89,11.5,13.74,612699700
6/1/2016,12.61,14.16,11.58,13.76,697596600
5/1/2016,10.8,12.91,9.35,12.72,561794500
4/1/2016,10.28,12.41,10.05,10.75,517968600
3/1/2016,10.77,12.29,10.01,10.47,527818500
2/1/2016,11,11.75,9.45,10.63,461446600
1/1/2016,13.83,15.08,9.31,11.03,651121100
12/1/2015,16.18,16.629999,13.51,14.16,503575500
11/1/2015,16.959999,18.049999,14.65,15.93,370952400
10/1/2015,14.99,19.299999,14.5,16.559999,697300400
9/1/2015,15.8,17.969999,13.92,14.98,541386300
8/1/2015,18.610001,19.469999,13.5,16.41,699121500
7/1/2015,19.049999,20.57,17.139999,18.51,864703900
6/1/2015,27.959999,28.530001,18.549999,18.84,703906000
5/1/2015,28.309999,29.25,26.01,27.93,429768300
4/1/2015,27.129999,29.780001,26.4,28.129999,436295800
3/1/2015,31.08,31.5,25.610001,27.129999,544654100
2/1/2015,29.25,32.84,28.09,30.67,434426600
1/1/2015,35.240002,35.52,28.51,29.27,610506500
12/1/2014,35.98,36.59,32.369999,35.009998,359420900
